iter	Passed	Remaining
980	284625	2616758
981	284998	2617223
982	285288	2616936
983	285554	2616422
984	285811	2615831
985	286058	2615139
986	286341	2614784
987	286657	2614733
988	286989	2614821
989	287285	2614585
990	287578	2614319
991	287874	2614086
992	288187	2613999
993	288500	2613920
994	288806	2613774
995	289164	2614095
996	289515	2614352
997	289843	2614403
998	290195	2614668
999	290512	2614610
1000	290793	2614233
1001	291111	2614190
1002	291429	2614151
1003	291664	2613359
1004	291938	2612919
1005	292175	2612156
1006	292460	2611818
1007	292751	2611532
1008	293033	2611164
1009	293275	2610441
1010	293537	2609898
1011	293749	2608913
1012	294104	2609197
1013	294405	2609002
1014	294666	2608448
1015	295019	2608718
1016	295324	2608553
1017	295586	2608014
1018	295850	2607488
1019	296161	2607380
1020	296425	2606861
1021	296662	2606101
1022	296982	2606067
1023	297231	2605415
1024	297556	2605433
1025	297855	2605218
1026	298109	2604609
1027	298427	2604564
1028	298726	2604346
1029	299072	2604547
1030	299416	2604723
1031	299716	2604510
1032	300002	2604188
1033	300238	2603424
1034	300490	2602802
1035	300777	2602481
1036	301051	2602046
1037	301358	2601906
1038	301714	2602181
1039	302008	2601917
1040	302346	2602039
1041	302643	2601804
1042	302969	2601822
1043	303262	2601549
1044	303517	2600956
1045	303881	2601297
1046	304253	2601704
1047	304577	2601698
1048	304818	2600980
1049	305079	2600436
1050	305388	2600309
1051	305724	2600405
1052	306070	2600580
1053	306369	2600359
1054	306631	2599830
1055	306968	2599932
1056	307192	2599071
1057	307502	2598951
1058	307847	2599117
1059	308152	2598946
1060	308437	2598608
1061	308765	2598632
1062	309044	2598240
1063	309377	2598308
1064	309730	2598534
1065	309970	2597820
1066	310304	2597892
1067	310633	2597921
1068	310980	2598095
1069	311268	2597782
1070	311565	2597539
1071	311853	2597224
1072	312161	2597081
1073	312528	2597421
1074	312804	2597006
1075	313071	2596517
1076	313375	2596329
1077	313716	2596457
1078	314064	2596632
1079	314367	2596441
1080	314670	2596246
1081	314961	2595955
1082	315204	2595273
1083	315506	2595066
1084	315776	2594603
1085	316062	2594275
1086	316375	2594162
1087	316619	2593489
1088	316953	2593549
1089	317266	2593436
1090	317584	2593362
1091	317891	2593201
1092	318234	2593334
1093	318550	2593242
1094	318822	2592798
1095	319101	2592408
1096	319410	2592260
1097	319658	2591618
1098	319914	2591048
1099	320205	2590751
1100	320553	2590921
1101	320834	2590546
1102	321128	2590283
1103	321383	2589695
1104	321624	2589008
1105	321872	2588365
1106	322136	2587859
1107	322448	2587738
1108	322737	2587427
1109	323028	2587137
1110	323363	2587201
1111	323639	2586788
1112	323927	2586470
1113	324235	2586316
1114	324474	2585607
1115	324735	2585081
1116	325025	2584780
1117	325304	2584392
1118	325611	2584234
1119	325935	2584205
1120	326304	2584530
1121	326605	2584313
1122	326910	2584133
1123	327208	2583902
1124	327451	2583227
1125	327746	2582970
1126	328013	2582488
1127	328259	2581839
1128	328515	2581275
1129	328824	2581125
1130	329077	2580535
1131	329415	2580616
1132	329735	2580548
1133	330061	2580531
1134	330377	2580437
1135	330683	2580260
1136	331015	2580288
1137	331260	2579639
1138	331516	2579072
1139	331771	2578502
1140	332044	2578071
1141	332360	2577975
1142	332622	2577462
1143	332890	2576990
1144	333158	2576520
1145	333470	2576394
1146	333749	2576012
1147	334051	2575802
1148	334339	2575489
1149	334644	2575304
1150	334949	2575122
1151	335237	2574809
1152	335497	2574280
1153	335832	2574327
1154	336129	2574084
1155	336421	2573799
1156	336683	2573288
1157	336948	2572799
1158	337294	2572928
1159	337616	2572869
1160	337874	2572324
1161	338164	2572026
1162	338484	2571956
1163	338788	2571765
1164	339047	2571234
1165	339353	2571055
1166	339661	2570890
1167	339954	2570615
1168	340241	2570289
1169	340545	2570101
1170	340839	2569830
1171	341137	2569588
1172	341454	2569498
1173	341698	2568851
1174	341968	2568403
1175	342272	2568206
1176	342512	2567532
1177	342853	2567618
